"link_id","road_name","link_first_time","avg_speed","max_spd"
"4130115800","세종1로","2023-09-01 23:11:14",74.5254576,80
"4130114200","세종로","2023-09-01 23:11:28",85.7569676,80
"4130112200","세종로","2023-09-01 23:11:46",92.4077214,80
"4130111400","세종로","2023-09-01 23:11:50",92.18056770000001,80
"4130109200","세종로","2023-09-01 23:11:58",88.5885261428571,80
"4130108500","세종로","2023-09-01 23:12:26",82.35609960000001,80
"4130107900","세종로","2023-09-01 23:12:50",79.60341120000001,80
"4130105400","세종로","2023-09-01 23:12:56",75.150036,80
"4130104600","세종로","2023-09-01 23:13:14",76.3266132,80
"4130101000","세종로","2023-09-01 23:13:22",77.89180230000001,80
"4130099400","세종로","2023-09-01 23:13:30",74.8046592,80
"4130098000","세종로","2023-09-01 23:13:36",81.6310632,80
"4130096500","세종로","2023-09-01 23:13:42",77.62696069090909,80
"4130095200","세종로","2023-09-01 23:14:04",80.45335727999999,80
"4130092800","세종로","2023-09-01 23:14:24",80.29074285000002,40
"4130091800","세종로","2023-09-01 23:14:56",84.69105624000001,80
"1860326200","북유성대로","2023-09-01 23:15:06",86.7172563,80
"1860326800","북유성대로","2023-09-01 23:15:14",86.29708600000001,80
"1860327200","북유성대로","2023-09-01 23:15:32",86.42399355,80
"1860327400","북유성대로","2023-09-01 23:15:48",83.65338,80
"1860327800","북유성대로","2023-09-01 23:15:50",79.95799380000001,80
"1860328000","북유성대로","2023-09-01 23:16:02",83.41085520000001,80
"1860328400","북유성대로","2023-09-01 23:16:04",84.8697654,80
"1860330500","북유성대로","2023-09-01 23:16:38",80.1134556,80
"1860331800","북유성대로","2023-09-01 23:16:44",68.38848767999998,80
"1860198200","북유성대로","2023-09-01 23:17:14",21.20835163255714,80
"1860200600","북유성대로","2023-09-01 23:18:38",49.96974252857143,60
"1860202500","북유성대로","2023-09-01 23:19:06",41.6524077,60
