uuid,time_begin,time_end,distance,origin_lat,origin_lng,destination_lat,destination_lng,type
8f121c9d150e4592a14990069b62d745,2022-10-27 08:46:40,2022-10-27 08:57:47,12314,36.360261,127.294973,36.428356,127.277439,DtoS
c4fad712ecb54730afba3b677029712f,2022-10-27 08:11:32,2022-10-27 08:43:36,20313,36.361705,127.336483,36.499661,127.330425,DtoS
c4fad712ecb54730afba3b677029712f,2022-10-27 18:33:40,2022-10-27 19:18:28,23248,36.499616,127.330283,36.357268,127.339036,StoD
a7b5635125884040b7eea1f17f8d633c,2022-10-27 07:54:01,2022-10-27 08:24:48,25228,36.367673,127.377287,36.499466,127.330707,DtoS
a7b5635125884040b7eea1f17f8d633c,2022-10-27 18:16:53,2022-10-27 18:57:22,25233,36.499692,127.330444,36.368732,127.377479,StoD
7fc1715756704bfc98f333bb1f2862ac,2022-10-27 08:09:21,2022-10-27 08:59:24,36401,36.3000176,127.3519147,36.4891592,127.2579926,DtoS
7fc1715756704bfc98f333bb1f2862ac,2022-10-27 18:35:49,2022-10-27 19:03:00,12051,36.4892795,127.2579455,36.3990358,127.3097187,StoD
16543313bc9a4b0d945079a3fa78e44d,2022-10-27 00:36:02,2022-10-27 01:12:46,28894,36.4691872,127.2715995,36.3335053,127.4086344,StoD
16543313bc9a4b0d945079a3fa78e44d,2022-10-27 10:23:03,2022-10-27 11:01:45,31618,36.4254186,127.4204368,36.5662329,127.2844536,DtoS
16543313bc9a4b0d945079a3fa78e44d,2022-10-27 13:01:37,2022-10-27 13:41:48,26170,36.4803063,127.2980166,36.3335231,127.4087087,StoD
deebb302e865451aad98ff95317e8a1f,2022-10-27 21:01:26,2022-10-27 22:15:14,33606,36.6297651,127.2891028,36.3891873,127.3171215,StoD
27b5fd7addc54f2ab13a90ed0515f139,2022-10-27 07:56:48,2022-10-27 08:28:27,16424,36.476698,127.29609,36.40293,127.399985,StoD
27b5fd7addc54f2ab13a90ed0515f139,2022-10-27 19:44:33,2022-10-27 20:01:02,11579,36.435454,127.387304,36.478285,127.296261,DtoS
1171bcfa1ef644c0a5d0f8042dd56aa2,2022-10-27 21:09:34,2022-10-27 21:37:17,18588,36.489034,127.263723,36.364738,127.355142,StoD
c8ffee47bb924c32a9c85f2e27c5defd,2022-10-27 21:40:06,2022-10-27 22:11:40,20310,36.4813957,127.296497,36.3503098,127.3724005,StoD
64da2d37529d459890d90a2698a07a7e,2022-10-27 09:37:49,2022-10-27 10:28:43,29921,36.3535032,127.4367432,36.4996064,127.3168851,DtoS
65680eab7e754de7bbc84e945e1ebea7,2022-10-27 05:33:13,2022-10-27 05:56:05,22144,36.4820454,127.2460794,36.3876158,127.3954542,StoD
65680eab7e754de7bbc84e945e1ebea7,2022-10-27 18:04:54,2022-10-27 18:49:52,28606,36.388601,127.3986669,36.4950437,127.2453682,DtoS
65680eab7e754de7bbc84e945e1ebea7,2022-10-27 22:16:29,2022-10-27 22:41:52,21805,36.4996772,127.2394601,36.3458132,127.3372939,StoD
65680eab7e754de7bbc84e945e1ebea7,2022-10-27 22:56:05,2022-10-27 23:25:52,20320,36.3594093,127.3441446,36.4910456,127.2464837,DtoS
33e35ce17d514956af922dee0e6a3d02,2022-10-27 08:08:05,2022-10-27 08:41:40,38629,36.500574,127.244949,36.296303,127.324253,StoD
33e35ce17d514956af922dee0e6a3d02,2022-10-27 18:07:14,2022-10-27 18:52:56,35807,36.295046,127.323042,36.486944,127.257409,DtoS
3662331b5e504702b4db85db30534572,2022-10-27 07:57:26,2022-10-27 08:30:11,36547,36.3500512,127.449927,36.4986439,127.3309297,DtoS
3662331b5e504702b4db85db30534572,2022-10-27 18:46:12,2022-10-27 19:22:05,37127,36.4985471,127.331074,36.3481389,127.4350764,StoD
