uuid,time_begin,time_end,distance,origin_lat,origin_lng,destination_lat,destination_lng,type
c4fad712ecb54730afba3b677029712f,2022-11-10 08:05:37,2022-11-10 08:35:40,21012,36.358054,127.337873,36.499518,127.330662,DtoS
c4fad712ecb54730afba3b677029712f,2022-11-10 18:09:01,2022-11-10 18:55:13,23056,36.499534,127.330494,36.357244,127.339055,StoD
b1028dad58304ba8a0e351de51ac74a1,2022-11-10 20:49:02,2022-11-10 21:19:57,22198,36.5078787,127.2609183,36.3592416,127.3693885,StoD
b1028dad58304ba8a0e351de51ac74a1,2022-11-10 21:55:44,2022-11-10 22:19:37,20281,36.3673665,127.3798073,36.4744629,127.2553323,DtoS
a7b5635125884040b7eea1f17f8d633c,2022-11-10 08:07:44,2022-11-10 08:40:05,25303,36.368651,127.377753,36.499647,127.330704,DtoS
a7b5635125884040b7eea1f17f8d633c,2022-11-10 18:13:27,2022-11-10 18:55:55,25419,36.499432,127.330714,36.368538,127.377155,StoD
7fc1715756704bfc98f333bb1f2862ac,2022-11-10 17:19:06,2022-11-10 18:35:02,31155,36.4888507,127.2577744,36.3252764,127.3733871,StoD
16543313bc9a4b0d945079a3fa78e44d,2022-11-10 01:13:52,2022-11-10 01:49:30,28848,36.4691939,127.2717029,36.3334724,127.4086218,StoD
16543313bc9a4b0d945079a3fa78e44d,2022-11-10 12:41:22,2022-11-10 13:22:22,29115,36.3337256,127.4079308,36.4697729,127.2713545,DtoS
16543313bc9a4b0d945079a3fa78e44d,2022-11-10 22:58:23,2022-11-10 23:35:30,29029,36.4696036,127.2712459,36.3335218,127.408635,StoD
8735302aed7145dba34578c161607f96,2022-11-10 20:52:31,2022-11-10 21:22:34,21771,36.505606,127.26162,36.35935,127.369426,StoD
8735302aed7145dba34578c161607f96,2022-11-10 21:57:19,2022-11-10 22:16:47,19817,36.365194,127.379401,36.474237,127.255345,DtoS
8735302aed7145dba34578c161607f96,2022-11-10 22:49:35,2022-11-10 23:27:19,29764,36.479555,127.286385,36.326924,127.445585,StoD
3de01fb59474439792f9053f80b3683c,2022-11-10 08:13:46,2022-11-10 08:54:33,24585,36.368201,127.440846,36.498048,127.33067,DtoS
3de01fb59474439792f9053f80b3683c,2022-11-10 18:28:26,2022-11-10 19:12:02,22714,36.496205,127.329201,36.368816,127.442741,StoD
deebb302e865451aad98ff95317e8a1f,2022-11-10 19:42:27,2022-11-10 20:46:10,31510,36.5970627,127.2955943,36.3893393,127.3169584,StoD
27b5fd7addc54f2ab13a90ed0515f139,2022-11-10 07:47:42,2022-11-10 08:26:24,16918,36.477969,127.295594,36.402696,127.400088,StoD
27b5fd7addc54f2ab13a90ed0515f139,2022-11-10 18:12:30,2022-11-10 18:59:59,17317,36.402959,127.399841,36.47825,127.296338,DtoS
cf6f6f767e2d4f03849e51b834cdb13a,2022-11-10 08:23:54,2022-11-10 08:49:46,15032,36.51125,127.264918,36.391289,127.314603,StoD
1171bcfa1ef644c0a5d0f8042dd56aa2,2022-11-10 08:05:48,2022-11-10 08:51:28,19130,36.360976,127.353573,36.499152,127.265559,DtoS
1171bcfa1ef644c0a5d0f8042dd56aa2,2022-11-10 18:08:26,2022-11-10 18:59:54,19081,36.493849,127.26263,36.364932,127.356034,StoD
c8ffee47bb924c32a9c85f2e27c5defd,2022-11-10 21:41:30,2022-11-10 22:11:32,20308,36.4814387,127.296584,36.3503625,127.3722786,StoD
59eec9d7000544f6b56f825ddc5ba04d,2022-11-10 12:26:43,2022-11-10 13:17:00,45228,36.598451,127.290349,36.355485,127.437561,StoD
59eec9d7000544f6b56f825ddc5ba04d,2022-11-10 14:53:55,2022-11-10 15:52:09,44873,36.356336,127.435912,36.606645,127.286534,DtoS
29860cac644b4cfa8229e8ddc10d895b,2022-11-10 19:08:46,2022-11-10 20:03:07,23717,36.531771,127.244656,36.389756,127.316558,StoD
29860cac644b4cfa8229e8ddc10d895b,2022-11-10 20:08:25,2022-11-10 21:16:21,22799,36.391353,127.315403,36.535108,127.240004,DtoS
65680eab7e754de7bbc84e945e1ebea7,2022-11-10 05:31:09,2022-11-10 05:55:53,24027,36.4950836,127.245097,36.3878513,127.3955606,StoD
65680eab7e754de7bbc84e945e1ebea7,2022-11-10 17:05:54,2022-11-10 17:47:49,28595,36.3884075,127.3987741,36.4950508,127.2453247,DtoS
65680eab7e754de7bbc84e945e1ebea7,2022-11-10 20:47:30,2022-11-10 21:23:19,22876,36.4987029,127.2354558,36.3479119,127.3398847,StoD
65680eab7e754de7bbc84e945e1ebea7,2022-11-10 21:33:13,2022-11-10 21:58:34,20769,36.3524946,127.3374788,36.5021887,127.2435427,DtoS
33e35ce17d514956af922dee0e6a3d02,2022-11-10 08:19:53,2022-11-10 08:51:51,33368,36.500867,127.24497,36.296176,127.324293,StoD
33e35ce17d514956af922dee0e6a3d02,2022-11-10 18:21:56,2022-11-10 19:13:58,38470,36.295089,127.322499,36.501086,127.241408,DtoS
919aecdcccce43f9a7d84432af691180,2022-11-10 11:28:26,2022-11-10 12:11:27,31654,36.3496881,127.2961186,36.5787964,127.2932215,DtoS
919aecdcccce43f9a7d84432af691180,2022-11-10 14:20:40,2022-11-10 15:11:11,39651,36.5937944,127.2986526,36.3919505,127.4167837,StoD
