"uuid","time_begin","time_end","distance","origin_lat","origin_lng","destination_lat","destination_lng","type","pass_is","jam"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-10-26 08:06:38","2022-10-26 09:08:07",19792,36.364925,127.355309,36.499216,127.266016,"DtoS","false","true"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-10-26 16:25:15","2022-10-26 17:19:57",17698,36.47868,127.270415,36.364788,127.355498,"StoD","false","false"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-10-27 21:09:34","2022-10-27 21:37:17",18588,36.489034,127.263723,36.364738,127.355142,"StoD","false","true"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-10-31 18:09:25","2022-10-31 19:07:15",19825,36.499241,127.266063,36.365153,127.355675,"StoD","false","true"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-09 18:15:03","2022-11-09 19:05:28",19826,36.498368,127.266388,36.365039,127.356051,"StoD","false","true"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-10 08:05:48","2022-11-10 08:51:28",19130,36.360976,127.353573,36.499152,127.265559,"DtoS","false","true"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-10 18:08:26","2022-11-10 18:59:54",19081,36.493849,127.26263,36.364932,127.356034,"StoD","false","false"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-14 08:09:42","2022-11-14 08:55:13",18940,36.36053,127.350366,36.499222,127.266149,"DtoS","false","true"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-14 18:56:47","2022-11-14 19:26:24",19254,36.496457,127.263431,36.364975,127.355857,"StoD","false","false"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-15 08:02:46","2022-11-15 08:52:07",19756,36.364702,127.355603,36.499226,127.266416,"DtoS","false","true"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-15 18:51:47","2022-11-15 19:21:50",13866,36.451433,127.285233,36.364961,127.355794,"StoD","false","false"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-16 08:08:44","2022-11-16 08:56:08",19139,36.360768,127.353636,36.499246,127.266471,"DtoS","false","true"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-17 01:04:56","2022-11-17 01:31:30",17475,36.475459,127.272279,36.364974,127.356051,"StoD","false","true"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-17 09:01:44","2022-11-17 09:36:02",19158,36.362509,127.353089,36.498902,127.267041,"DtoS","false","false"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-17 21:27:14","2022-11-17 21:56:05",19645,36.498605,127.264388,36.365066,127.355894,"StoD","false","false"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-18 08:17:37","2022-11-18 08:46:44",14363,36.386409,127.31906,36.499187,127.26595,"DtoS","false","true"
"1171bcfa1ef644c0a5d0f8042dd56aa2","2022-11-18 18:13:04","2022-11-18 19:11:30",19450,36.497108,127.263688,36.365032,127.355969,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-16 03:24:25","2022-10-16 03:55:13",22153,36.3316855,127.4057502,36.4691482,127.2727431,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-16 12:36:15","2022-10-16 13:17:12",26297,36.4801109,127.2974802,36.3337214,127.4086276,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-17 05:50:22","2022-10-17 06:25:09",21813,36.3316676,127.4056827,36.469152,127.2722263,"DtoS","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-17 15:54:30","2022-10-17 16:25:07",18532,36.4690577,127.2716802,36.4253894,127.4203161,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-18 03:38:06","2022-10-18 04:17:56",22663,36.3333557,127.408727,36.4689108,127.2725458,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-18 12:26:01","2022-10-18 13:00:28",28310,36.4689124,127.272584,36.3381477,127.4079924,"StoD","false","false"
